Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,8.7,104.40,USD,"Hosted Zones (1), Basic Checks Within AWS (5)"
My Estimate,US East (N. Virginia),,Elastic Load Balancing,0,37.14,445.68,USD,"Number of Classic Load Balancers (2), Processed bytes per CLB (40 GB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,1489.3899000000001,17872.68,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 2, Peak: 23, Duration of peak: 8 Hr 0 Min)), Data transfer cost (0), Advance EC2 instance (m4.xlarge), Pricing strategy (On-Demand)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,1,12.00,USD,"Number of EC2 instances (2), Number of EIPs per instance (1), Number of EIP remaps (10)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,388.26,4659.12,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,2128.64,25543.68,USD,"Quantity (2), Pricing strategy (On-Demand Instances  ), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1.5 TB), Instance type (db.m6g.4xlarge)"
My Estimate,US East (N. Virginia),,S3 Standard,0,916.34,10996.08,USD,S3 Standard storage (38 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"Data Transfer, Data transfer cost (0)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,1421.8899000000001,17062.68,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (50 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 2, Peak: 23, Duration of peak: 8 Hr 0 Min)), Data transfer cost (0), Advance EC2 instance (m4.xlarge), Pricing strategy (On-Demand)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
